	Lao	vietnamese	score
0	ຂ້ອຍໃຫ້ຄວາມສົນໃຈເຖິງບັນຫາການສຶກສາ – ໃນຄວາມເປັນຈິງຂ້ອຍເຫັນວ່າ ທຸກໆຄົນຕ່າງໃຫ້ຄວາມສົນໃຈໃນການສຶກສາ.	Tôi có mối quan tâm đến vấn đề giáo dục — trên thực tế tôi thấy tất cả mọi người đều quan tâm đến giáo dục.	4
1	ຂ້າພະເຈົ້າມີຄວາມສົນໃຈກ່ຽວກັບປະເດັນການສຶກສາ, ແລະ ຄິດວ່າເຮົາທຸກຄົນມີຄືກັນໝົດ.	Tôi có mối quan tâm lớn tới giáo dục và tôi nghĩ tất cả chúng ta đều vậy.	4
2	ຈຸດທີ່ຄ້າຍຄືກັນຂອງແຕ່ລະບົດເລື່ອງແມ່ນເດັກນ້ອຍຈະເຮັດໃນສີ່ງທີ່ພວກເຂົາຄິດເຖິງພວກເຂົາຈະບໍ່ຮູ້,ພວກເຂົາກໍຈະລອງເຮັດຢ່າງບໍ່ລັງເລ	Điểm chung của những câu chuyện này là trẻ con sẽ làm những điều chúng nghĩ Nếu chúng không biết, chúng vẫn thử làm mà không do dự.	4
3	ສິ່ງທີ່ຂ້ອຍຢາກເວົ້າຢູ່ນີ້ບໍ່ໄດ້ໝາຍຄວາມວ່າຜິດ ແລະ ຄວາມຄິດປະດິດແມ່ນ ສອງ ຢ່າງແມ່ນອັນດຽວກັນ.	Điều tôi muốn nói ở đây không có nghĩa sai và sáng tạo là hai thứ đồng nhất.	4
4	ລາວໄດ້ເວົ້າວ່າ ເດັກທຸກຄົນເກີດມາລ້ວນເປັນນັກສິລະປະໝົດ.	Ông đã nói tất cả mọi đứa trẻ khi sinh ra đều là nghệ sĩ.	4
5	ພວກທ່ານສາມາດຈິນຕະນາການອອກວ່າມັນເປັນການປ່ຽນແປງທີ່ປາສະຈາກຂໍ້ຂັດຂ້ອງຂະໜາດໃດ.	Quý vị có thể hình dung được đó là một sự thay đổi trơn tru thế nào rồi đấy.	4
6	ເດັກນ້ອຍຈະເຕັ້ນຢູ່ຕະຫຼອດເວລາ ຖ້າເຂົາໄດ້ຮັບອະນຸຍາດ, ພວກເຮົາທຸກຄົນຄືກັນ.	Trẻ em sẽ nhảy múa cả ngày nếu chúng được phép, tất cả chúng ta đều thế.	4
7	ປັດຈຸບັນນີ້ ລະບົບການສຶກສາຂອງພວກເຮົາແມ່ນໄດ້ອີງໃສ່ພື້ນຖານຂອງແນວຄວາມຄິດແລະຄວາມສາມາດທາງວິຊາການ.	Hệ thống giáo dục hiện nay dựa trên quan niệm về khả năng học thuật.	4
8	ແລະ ອັນທີສອງ ແມ່ນຄວາມສາມາດທາງວິຊາໄອທີ, ເຊິ່ງແມ່ນຄວາມຮັບຮູ້ແລະມຸມມອງຂອງເຮົາຕໍ່ກັບຄວາມສະຫຼາດ, ເພາະວ່າມະຫາວິທະຍາໄລ ໄດ້ອອກແບບລະບົບຕາມຄວາມຄິດຂອງເຂົາ.	Điều thứ hai là khả năng học thuật, cái mà đã ngự trị cách nhìn nhận của chúng ta về trí thông minh, bởi các trường đại học đã vạch ra hệ thống này theo ý họ.	4
9	ຖ້າທ່ານສັງເກດ, ລະບົບທັງໝົດ ຂອງການສຶກສາມວນຊົນທົ່ວໂລກແມ່ນຂະບວນການຍາວນານ ເພື່ອຂອງການເຂົ້າມະຫາວິທະຍາໄລ.	Nếu bạn để ý, toàn bộ hệ thống giáo dục công trên thế giới là một quá trình kéo dài để dẫn tới cổng trường đại học.	4
